"from","to"
1139,2506
1139,7736
1139,5477
8266,2506
3984,2506
3984,7215
3984,5179
3984,8585
3984,6613
3984,2863
3984,620
3984,7456
3984,203
3984,6305
3984,5001
3984,420
3984,9459
3984,7868
3984,2657
3984,2549
3984,4763
3984,4377
7357,2506
7243,1854
7243,6223
7243,6797
7243,550
4129,2172
4129,3682
4129,4512
4129,1110
3601,513
3601,203
3601,3096
3601,636
7501,2506
6146,1454
6146,7692
6146,1287
5820,408
5820,5152
5820,6601
5820,6887
5320,5894
5320,1784
5320,1707
4131,2506
3796,6664
3796,3883
3796,7704
3796,4027
3796,8448
3796,4121
3796,157
3796,8644
3796,6675
3796,7725
5414,4103
5414,7854
2506,5903
2506,5905
2506,7318
2506,7538
2506,6706
2506,8993
2506,5924
2506,189
2506,3626
2506,4817
2506,2816
2506,7845
2506,8983
2506,5537
2506,7892
2506,8901
2506,2829
2506,5082
2506,8685
2506,5839
2506,2080
2506,7431
2506,2547
2506,7000
2506,2881
2506,6657
2506,405
2506,3549
2506,4398
2506,245
2506,9137
2506,4413
2506,2896
2506,5249
2506,4773
2506,3494
2506,3404
2506,712
2506,1407
2506,7289
2506,315
2506,1700
2506,51
2506,4123
2506,4470
2506,587
2506,5133
2506,543
2506,3478
2506,6974
2506,3731
2506,480
2506,5693
2506,4502
2506,2040
2506,3282
2506,2256
2506,7771
2506,9307
2506,4452
2506,7760
2506,5513
2506,4426
2506,1104
2506,4142
2506,6866
2506,7869
2506,5838
2506,2145
2506,2924
2506,7261
2506,9609
2506,3200
2506,4258
2506,7821
2506,7824
2506,2397
2506,6281
2506,8233
2506,1785
2506,2915
2506,4732
2506,7799
2506,3871
2506,5741
2506,9321
2506,8208
2506,3267
2506,1910
2506,9390
2506,6790
2506,6371
2506,3351
2506,5539
2506,3587
2506,8350
2506,3538
2506,8154
2506,8640
2506,1958
2506,8704
2506,7660
2506,4233
2506,3313
2506,3528
2506,9358
2506,1297
2506,6118
2506,4350
2506,1086
2506,7265
2506,3594
2506,1594
2506,7277
2506,4908
2506,1107
2506,4466
2506,4155
2506,3975
2506,7356
2506,9047
2506,4433
2506,2283
2506,7557
2506,2683
2506,552
2506,2388
2506,5223
2506,9148
2506,9153
2506,3716
2506,268
2506,8646
2506,6092
2506,9516
2506,9541
2506,8401
2506,8182
2506,8140
2506,3776
2506,3571
2506,9117
2506,3823
2506,6271
2506,1007
2506,1542
2506,4417
2506,7394
2506,4676
2506,8606
2506,6454
2506,6053
2506,6050
2506,1696
2506,7266
2506,1852
2506,3341
2506,1681
2506,6162
2506,325
2506,1684
2506,4862
2506,1013
2506,7378
2506,6016
2506,6735
2506,6278
2506,6181
2506,6001
2506,2593
2506,6856
2506,4302
2506,6845
2506,5568
2506,2144
2506,1054
2506,7796
2506,6289
2506,9607
2506,6324
2506,1670
2506,427
2506,246
2506,2803
2506,1452
2506,8010
2506,974
2506,18
2506,1091
2506,5698
2506,1425
2506,4661
2506,6363
2506,6710
2506,3764
2506,6964
2506,4553
2506,2392
2506,7582
2506,3605
2506,941
2506,2020
2506,3659
2506,8515
2506,7237
2506,652
2506,813
2506,5193
2506,2494
2506,2753
2506,8002
2506,9131
2506,7525
2506,9004
2506,2627
2506,2153
2506,1426
2506,7341
2506,4863
2506,1
2506,8337
2506,5607
2506,6708
2506,1112
2506,3456
2506,5243
2506,4561
2506,2767
2506,3403
2506,529
2506,6604
2506,1414
2506,823
2506,3107
2506,8347
2506,7695
2506,9318
2506,7976
2506,1105
2506,8092
2506,5597
2506,8404
2506,6275
2506,3612
2506,8395
2506,2364
2506,4317
2506,5332
2506,1655
2506,2470
2506,5701
2506,5671
2506,5564
2506,9123
2506,9381
2506,2565
2506,2367
2506,2532
2506,6889
2506,8355
2506,8127
2506,7381
2506,3809
2506,671
2506,9192
2506,6357
2506,3440
2506,5859
2506,8534
2506,9265
2506,6148
2506,4747
2506,8493
2506,4883
2506,5893
2506,6791
2506,9453
2506,7556
2506,6214
2506,8022
2506,9202
2506,4955
2506,4014
2506,147
2506,791
2506,4034
2506,9205
2506,2991
2506,4715
2506,1860
2506,5045
2506,6802
2506,4598
2506,2400
2506,6595
2506,5845
2506,8706
2506,7554
2506,6961
2506,2341
2506,8533
2506,9427
2506,8903
2506,2900
2506,5456
2506,4543
2506,2516
2506,8501
2506,6471
2506,5063
2506,6008
2506,154
2506,2623
2506,1252
2506,8159
2506,9158
2506,2631
2506,9164
2506,1012
2506,3212
2506,7709
2506,5091
2506,6571
2506,3603
2506,6569
2506,5374
2506,2674
2506,9488
2506,756
2506,8055
2506,6859
2506,1760
2506,8381
2506,4141
2506,6697
2506,4842
2506,5497
2506,2694
2506,493
2506,2721
2506,8963
2506,1216
2506,5791
2506,7185
2506,5662
2506,3153
2506,6201
2506,1328
2506,4072
2506,4264
2506,2958
2506,1016
2506,6818
2506,907
2506,8476
2506,8620
2506,6495
2506,358
2506,8193
2506,370
2506,7916
2506,2951
2506,5502
2506,6522
2506,9614
2506,2298
2506,8020
2506,372
2506,577
2506,6208
2506,7278
2506,6288
2506,2537
2506,694
2506,10
2506,6729
2506,6728
2506,6024
2506,2208
2506,8063
2506,6440
2506,8703
2506,4219
2506,5532
2506,7376
2506,6142
2506,3529
2506,82
2506,7118
2506,3019
2506,3817
2506,4437
2506,4540
2506,7447
2506,5968
2506,2950
2506,3462
2506,2404
2506,3812
2506,2993
2506,1896
2506,9033
2506,4975
2506,1831
2506,2751
2506,1140
2506,8014
2506,6494
2506,4493
2506,160
2506,7285
2506,4851
2506,7770
2506,3903
2506,7907
2506,3828
2506,6405
2506,8449
2506,6713
2506,7205
2506,6792
2506,8883
2506,2929
2506,4775
2506,6443
2506,5789
2506,1055
2506,608
2506,2487
2506,3541
2506,2543
2506,6070
2506,1811
2506,9069
2506,7669
2506,5947
2506,4610
2506,7040
2506,4205
2506,8767
2506,6500
2506,4612
2506,8549
2506,4820
2506,3513
2506,8046
2506,5054
2506,4780
2506,8387
2506,7685
2506,4659
2506,7108
2506,5721
2506,3151
2506,8162
2506,8039
2506,4809
2506,7583
2506,8234
2506,2014
2506,6554
2506,5176
2506,4698
2506,4750
2506,7098
2506,802
2506,176
2506,2126
2506,7795
2506,6987
2506,7466
2506,3784
2506,6910
2506,5953
2506,3826
2506,6673
2506,2635
2506,2203
2506,6492
2506,5415
2506,5590
2506,8552
2506,1775
2506,1761
2506,595
2506,4866
2506,1316
2506,4708
2506,876
2506,3300
2506,9431
2506,5863
2506,9600
2506,2138
2506,7727
2506,9216
2506,8416
2506,6141
2506,115
2506,4710
2506,6376
2506,7176
2506,6078
2506,1481
2506,5022
2506,4826
2506,2272
2506,1550
2506,9049
2506,887
2506,6243
2506,1843
2506,3012
2506,4541
2506,3366
2506,8653
2506,7142
2506,9612
2506,206
2506,609
2506,8734
2506,2175
2506,5575
2506,8391
2506,9077
2506,1080
2506,5871
2506,6864
2506,6180
2506,6082
2506,2677
2506,6444
2506,4833
2506,2811
2506,6332
2506,5007
2506,1503
2506,7730
2506,1179
2506,8664
2506,7399
2506,7452
2506,5669
2506,2398
2506,263
2506,885
2506,8270
