seq,year,age,sex,subject,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,interest,enjoy,mastgrad
1,4,20,1,1,6,2,4,6,7,5,4,5,1,3,6,6,7,5,2
2,4,20,1,1,3,1,1,3,5,3,4,5,3,1,5,1,7,7,5
3,3,19,2,1,2,2,1,6,5,4,1,7,1,1,5,1,7,7,4
4,3,19,1,1,4,5,5,3,6,4,6,6,4,4,6,3,7,6,3
5,3,18,2,1,6,4,2,4,7,4,6,7,2,2,7,2,7,7,1
6,3,19,1,1,7,2,2,6,7,6,7,7,5,5,7,5,7,7,1
7,3,20,2,1,7,2,1,7,7,6,4,4,1,6,5,2,6,6,4
8,3,21,1,1,1,1,5,4,7,6,1,2,3,3,7,1,7,7,1
9,3,19,2,1,7,5,7,4,7,4,6,7,3,1,5,3,6,6,1
10,3,21,2,1,4,5,6,2,4,2,5,7,5,1,6,2,6,6,1
11,3,19,2,1,7,5,2,6,3,4,1,5,3,4,4,1,7,7,1
12,3,19,2,1,6,6,3,5,6,6,4,6,5,5,6,1,7,7,1
13,3,19,1,1,3,2,2,3,4,1,4,5,3,1,6,6,7,7,2
14,3,19,2,1,4,3,5,6,5,5,3,4,1,5,6,4,7,7,3
15,3,19,2,1,7,6,5,5,5,5,2,5,3,4,3,3,6,5,5
16,3,18,2,1,6,5,4,5,7,6,6,7,5,4,7,3,6,6,4
17,3,19,1,1,7,4,1,6,7,6,3,7,3,4,7,1,7,7,1
18,3,19,2,1,5,5,6,4,5,4,3,3,4,4,4,6,7,6,3
19,3,19,2,1,5,5,2,5,5,4,2,6,1,2,6,1,7,7,3
20,3,19,2,1,6,1,3,5,4,5,4,5,1,2,7,3,6,7,3
21,3,19,2,1,7,3,2,4,5,3,1,2,2,2,4,5,7,7,5
22,3,18,1,1,6,1,2,6,6,6,2,6,2,6,7,7,7,6,1
23,3,18,1,1,7,3,2,5,4,5,2,6,1,2,4,3,6,5,4
24,3,19,1,1,4,4,2,5,4,4,2,3,2,3,3,5,5,5,4
25,3,19,1,1,6,2,3,5,5,5,3,6,4,3,6,3,6,5,3
26,3,19,2,1,5,2,2,6,6,5,1,7,1,3,6,1,6,6,1
27,4,19,1,1,5,3,2,2,4,2,2,4,5,2,5,5,6,6,1
28,4,19,1,1,7,1,1,7,7,7,1,5,1,6,7,7,3,3,5
29,4,20,2,1,5,1,5,4,5,3,3,5,5,3,5,5,7,7,5
30,4,21,2,1,5,4,6,6,5,6,4,4,5,5,5,4,5,5,4
31,4,20,2,1,7,1,6,4,4,4,1,6,6,4,7,1,7,7,2
32,4,20,1,1,1,2,1,6,3,1,5,3,3,3,6,2,2,1,6
33,4,19,1,1,6,5,4,4,4,3,4,5,5,3,5,4,6,6,2
34,4,20,2,1,5,3,1,1,1,1,1,7,2,1,7,1,7,7,1
35,4,20,2,1,2,3,6,5,7,5,3,7,2,2,7,1,7,7,1
36,4,20,2,1,1,3,2,3,5,2,2,3,1,1,3,1,6,6,1
37,3,19,1,1,1,2,3,1,7,3,2,7,1,1,7,1,7,7,2
38,3,19,1,1,7,4,5,5,7,3,5,7,2,2,7,3,6,6,2
39,3,19,2,1,7,2,1,5,7,7,6,7,7,7,6,6,7,7,1
40,3,19,2,1,4,6,5,3,4,2,3,4,3,1,6,4,6,5,2
41,3,19,1,1,4,1,1,1,7,1,4,7,1,1,7,1,7,7,1
42,3,20,2,1,3,7,7,4,1,4,4,6,1,1,1,4,7,7,2
43,3,18,1,1,7,5,6,7,7,7,4,7,6,5,7,5,6,6,4
44,3,19,1,1,7,1,6,7,7,7,7,7,5,5,7,2,7,7,1
45,3,19,1,1,2,5,1,7,5,3,3,6,1,3,6,7,7,5,1
46,3,20,2,1,7,4,3,6,7,6,1,7,1,4,7,1,4,4,4
47,3,19,2,1,7,5,6,4,5,3,2,6,6,2,5,6,7,7,3
48,3,19,2,1,7,6,1,3,4,3,3,5,5,3,4,6,7,7,1
49,3,19,2,1,5,6,1,6,5,2,1,7,1,1,5,1,5,5,1
50,3,22,2,1,4,2,2,5,5,5,2,5,3,4,5,2,6,6,2
51,3,20,2,1,6,4,4,5,4,6,4,5,3,4,6,2,6,6,2
52,3,21,2,1,4,4,2,5,2,5,3,5,2,2,4,3,7,5,1
53,4,19,1,1,5,2,2,3,4,3,2,5,4,3,5,7,5,5,3
54,4,20,2,1,5,3,2,4,5,4,3,4,2,4,5,4,6,5,2
55,4,20,1,1,7,4,1,7,4,4,1,4,1,1,1,1,7,7,1
56,4,20,1,1,4,6,3,5,5,5,5,6,2,2,5,2,5,5,4
57,4,20,2,1,5,1,1,6,6,5,2,5,1,1,6,1,7,6,2
58,3,19,2,5,6,1,7,6,7,7,1,7,6,7,7,6,7,7,4
59,3,18,2,5,4,2,1,5,6,5,3,7,2,3,6,2,5,4,6
60,3,19,2,5,6,4,5,3,7,5,5,7,5,3,6,2,7,7,3
61,3,19,2,5,7,1,3,6,7,6,5,7,1,5,7,1,7,7,1
62,3,19,2,5,7,2,2,6,3,7,5,6,5,2,6,2,6,6,2
63,3,19,2,5,6,2,2,3,7,3,2,7,6,3,7,6,7,7,3
64,4,20,2,5,3,3,4,7,6,7,6,5,3,6,7,2,7,5,3
65,3,19,2,5,6,2,4,6,7,6,4,7,4,1,7,1,7,7,1
66,3,19,2,5,7,2,2,6,7,6,6,7,6,6,6,6,7,7,2
67,3,19,2,5,5,3,4,6,6,5,4,6,1,3,6,1,6,6,3
68,3,19,2,5,4,2,2,3,5,4,3,7,2,3,6,3,7,7,2
69,3,19,2,5,4,6,6,2,6,3,5,7,2,3,6,2,6,6,2
70,3,18,2,5,5,4,1,4,6,5,4,6,5,6,7,5,5,5,1
71,3,19,2,5,5,1,2,3,4,3,3,6,2,2,6,2,6,6,1
72,3,19,2,5,4,2,4,7,7,5,4,6,4,1,4,4,7,7,7
73,3,19,2,5,1,5,5,2,5,2,5,7,2,2,6,2,4,4,2
74,4,20,2,1,7,5,5,4,6,4,4,6,4,5,5,4,6,6,1
75,4,19,2,1,6,7,6,7,5,6,5,5,3,4,5,3,7,6,4
76,4,20,2,1,6,2,3,6,7,6,5,7,6,3,6,5,6,6,4
77,4,20,2,1,7,6,5,5,6,5,4,6,4,5,5,5,7,7,4
78,4,20,2,1,7,2,1,5,6,5,6,7,4,1,7,3,7,7,3
79,4,20,2,1,5,4,4,4,4,5,5,4,2,4,5,2,6,6,2
80,4,20,2,1,2,1,2,3,6,1,2,7,4,6,7,1,7,6,1
81,3,19,2,1,7,4,2,4,6,6,4,7,3,3,7,2,7,5,1
