seq,year,age,sex,subject,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,interest,enjoy,mastgrad
1,4,20,1,1,6,2,4,6,7,5,4,5,1,3,6,6,7,5,2
2,4,20,1,1,3,1,1,3,5,3,4,5,3,1,5,1,7,7,5
3,3,19,2,1,2,2,1,6,5,4,1,7,1,1,5,1,7,7,4
4,3,19,1,1,4,5,5,3,6,4,6,6,4,4,6,3,7,6,3
5,3,18,2,1,6,4,2,4,7,4,6,7,2,2,7,2,7,7,1
6,3,19,1,1,7,2,2,6,7,6,7,7,5,5,7,5,7,7,1
7,3,20,2,1,7,2,1,7,7,6,4,4,1,6,5,2,6,6,4
8,3,21,1,1,1,1,5,4,7,6,1,2,3,3,7,1,7,7,1
9,3,NA,2,1,4,2,3,3,5,4,3,7,2,2,7,2,7,7,4
10,3,19,2,1,7,5,7,4,7,4,6,7,3,1,5,3,6,6,1
11,3,21,2,1,4,5,6,2,4,2,5,7,5,1,6,2,6,6,1
12,3,19,2,1,7,5,2,6,3,4,1,5,3,4,4,1,7,7,1
13,3,19,2,1,6,6,3,5,6,6,4,6,5,5,6,1,7,7,1
14,3,19,1,1,3,2,2,3,4,1,4,5,3,1,6,6,7,7,2
15,3,19,2,1,4,3,5,6,5,5,3,4,1,5,6,4,7,7,3
16,3,19,2,1,7,6,5,5,5,5,2,5,3,4,3,3,6,5,5
17,3,18,2,1,6,5,4,5,7,6,6,7,5,4,7,3,6,6,4
18,3,19,1,1,7,4,1,6,7,6,3,7,3,4,7,1,7,7,1
19,3,10,1,1,4,2,3,3,3,5,NA,5,3,3,6,3,6,6,1
20,3,19,2,1,5,5,6,4,5,4,3,3,4,4,4,6,7,6,3
21,3,19,2,1,5,5,2,5,5,4,2,6,1,2,6,1,7,7,3
22,3,19,2,1,6,1,3,5,4,5,4,5,1,2,7,3,6,7,3
23,3,19,2,1,7,3,2,4,5,3,1,2,2,2,4,5,7,7,5
24,3,18,1,1,6,1,2,6,6,6,2,6,2,6,7,7,7,6,1
25,3,NA,1,1,6,1,1,7,7,6,5,7,1,6,7,1,6,6,1
26,3,18,1,1,7,3,2,5,4,5,2,6,1,2,4,3,6,5,4
27,3,19,1,1,4,4,2,5,4,4,2,3,2,3,3,5,5,5,4
28,3,19,1,1,6,2,3,5,5,5,3,6,4,3,6,3,6,5,3
29,3,19,2,1,5,2,2,6,6,5,1,7,1,3,6,1,6,6,1
30,4,19,1,1,5,3,2,2,4,2,2,4,5,2,5,5,6,6,1
31,4,19,1,1,7,1,1,7,7,7,1,5,1,6,7,7,3,3,5
32,4,20,2,1,5,1,5,4,5,3,3,5,5,3,5,5,7,7,5
33,4,21,2,1,5,4,6,6,5,6,4,4,5,5,5,4,5,5,4
34,4,NA,2,1,7,3,2,7,6,7,5,7,5,6,7,5,7,7,2
35,4,20,2,1,7,1,6,4,4,4,1,6,6,4,7,1,7,7,2
36,4,20,1,1,1,2,1,6,3,1,5,3,3,3,6,2,2,1,6
37,4,19,1,1,6,5,4,4,4,3,4,5,5,3,5,4,6,6,2
38,4,20,2,1,5,3,1,1,1,1,1,7,2,1,7,1,7,7,1
39,4,20,2,1,2,3,6,5,7,5,3,7,2,2,7,1,7,7,1
40,4,20,2,1,1,3,2,3,5,2,2,3,1,1,3,1,6,6,1
41,3,19,1,1,1,2,3,1,7,3,2,7,1,1,7,1,7,7,2
42,3,19,1,1,7,4,5,5,7,3,5,7,2,2,7,3,6,6,2
43,3,19,2,1,7,2,1,5,7,7,6,7,7,7,6,6,7,7,1
44,3,19,2,1,4,6,5,3,4,2,3,4,3,1,6,4,6,5,2
45,3,19,1,1,4,1,1,1,7,1,4,7,1,1,7,1,7,7,1
46,3,20,2,1,3,7,7,4,1,4,4,6,1,1,1,4,7,7,2
47,3,18,1,1,7,5,6,7,7,7,4,7,6,5,7,5,6,6,4
48,3,19,1,1,7,1,6,7,7,7,7,7,5,5,7,2,7,7,1
49,3,19,1,1,2,5,1,7,5,3,3,6,1,3,6,7,7,5,1
50,3,20,2,1,7,4,3,6,7,6,1,7,1,4,7,1,4,4,4
51,3,19,2,1,7,5,6,4,5,3,2,6,6,2,5,6,7,7,3
52,3,19,2,1,7,6,1,3,4,3,3,5,5,3,4,6,7,7,1
53,3,19,2,1,5,6,1,6,5,2,1,7,1,1,5,1,5,5,1
54,3,22,2,1,4,2,2,5,5,5,2,5,3,4,5,2,6,6,2
55,3,20,2,1,6,4,4,5,4,6,4,5,3,4,6,2,6,6,2
56,3,21,2,1,4,4,2,5,2,5,3,5,2,2,4,3,7,5,1
57,4,19,1,1,5,2,2,3,4,3,2,5,4,3,5,7,5,5,3
58,4,20,2,1,5,3,2,4,5,4,3,4,2,4,5,4,6,5,2
59,4,20,1,1,7,4,1,7,4,4,1,4,1,1,1,1,7,7,1
60,4,20,1,1,4,6,3,5,5,5,5,6,2,2,5,2,5,5,4
61,4,20,2,1,5,1,1,6,6,5,2,5,1,1,6,1,7,6,2
62,3,19,2,5,6,1,7,6,7,7,1,7,6,7,7,6,7,7,4
63,3,18,2,5,4,2,1,5,6,5,3,7,2,3,6,2,5,4,6
64,3,19,2,5,6,4,5,3,7,5,5,7,5,3,6,2,7,7,3
65,3,19,2,5,7,1,3,6,7,6,5,7,1,5,7,1,7,7,1
66,3,19,2,5,6,4,4,4,5,4,3,5,2,4,4,3,5,5,NA
67,3,19,2,5,7,2,2,6,3,7,5,6,5,2,6,2,6,6,2
68,3,19,2,5,6,2,2,3,7,3,2,7,6,3,7,6,7,7,3
69,3,NA,2,5,7,2,4,3,5,3,2,5,5,3,6,6,7,7,4
70,4,20,2,5,3,3,4,7,6,7,6,5,3,6,7,2,7,5,3
71,3,19,2,5,6,2,4,6,7,6,4,7,4,1,7,1,7,7,1
72,3,19,2,5,7,2,2,6,7,6,6,7,6,6,6,6,7,7,2
73,3,19,2,5,5,3,4,6,6,5,4,6,1,3,6,1,6,6,3
74,3,19,2,5,NA,5,3,3,6,3,5,7,3,3,5,4,5,5,1
75,3,19,2,5,4,2,2,3,5,4,3,7,2,3,6,3,7,7,2
76,3,19,2,5,4,6,6,2,6,3,5,7,2,3,6,2,6,6,2
77,3,18,2,5,5,4,1,4,6,5,4,6,5,6,7,5,5,5,1
78,3,19,2,5,5,1,2,3,4,3,3,6,2,2,6,2,6,6,1
79,3,19,2,5,6,5,6,3,4,3,3,5,6,3,4,6,7,5,NA
80,3,19,2,5,7,7,5,1,3,4,1,3,1,NA,3,7,7,7,2
81,3,19,2,5,4,2,4,7,7,5,4,6,4,1,4,4,7,7,7
